Campaign_Name,Channel,Spend,Impressions,Clicks,Conversions,Revenue,Start_Date,End_Date,Campaign_Type,Region
Young-Hopkins,TV,2986.63,358779,13592,804,47178.97,2024-10-10,2024-10-10,Awareness,Europe
Shaw PLC,Radio,3671.78,241833,2907,186,11334.74,2024-08-28,2024-11-22,Awareness,Europe
"Banks, Levy and Elliott",Email,706.76,31167,1764,522,46589.52,2024-02-04,2024-07-10,Conversion,Europe
Miller-Cole,Social Media,965.46,55627,4270,265,18905.25,2024-09-24,2024-12-09,Retargeting,South America
Manning LLC,TV,3935.36,217841,2473,276,16562.36,2024-02-16,2024-07-01,Conversion,Europe
"Vang, Ramirez and Quinn",Radio,1713.57,83572,2354,126,7035.32,2024-06-03,2024-06-22,Conversion,Asia
Lee Group,Radio,2537.79,200401,10593,690,43186.06,2023-05-20,2023-08-15,Awareness,South America
Douglas and Sons,Social Media,2892.42,156391,12432,1389,88585.69,2021-12-01,2023-10-23,Conversion,South America
Warner and Sons,Social Media,2864.54,185443,6374,370,19415.84,2022-04-02,2023-01-16,Awareness,North America
Lawson-Brooks,TV,4669.69,273887,9065,674,51448.56,2024-06-19,2024-08-29,Retargeting,South America
Hale-Diaz,Email,993.71,27245,2465,568,38815.31,2022-11-01,2024-07-25,Retargeting,Asia
"Whitehead, Hutchinson and Baker",Radio,1103.81,46342,1909,80,3785.75,2024-01-26,2024-08-17,Retargeting,Europe
Bates-Clark,Email,668.9,26051,1398,290,17698.68,2024-04-27,2024-12-20,Retargeting,South America
Robinson LLC,Social Media,2464.56,175757,17775,1486,116380.45,2021-12-06,2022-06-01,Awareness,Europe
"Miller, Henry and Burns",TV,2889.92,228055,6728,202,3452.13,2022-11-01,2023-04-17,Awareness,Asia
Farrell LLC,Search Engine,3739.69,92900,4678,411,5043.81,2023-05-12,2024-03-29,Awareness,North America
Robinson-Hamilton,Email,605.65,16002,1731,216,7244.59,2022-06-22,2023-02-13,Conversion,North America
"Cross, Campbell and Johnston",Search Engine,2153.26,100069,9919,1732,183000.57,2023-07-24,2024-08-29,Awareness,India
Kline PLC,Email,1005.23,27415,2090,553,8114.59,2024-03-15,2024-03-23,Conversion,South America
Rodriguez PLC,Radio,1479.69,165118,4412,376,4509.21,2024-09-05,2024-09-05,Retargeting,North America
Galvan and Sons,Email,1874.78,24996,3605,373,3316.0,2022-04-27,2022-10-09,Retargeting,North America
"Watson, Hansen and Montgomery",Radio,4866.5,323041,7628,190,6857.08,2022-08-18,2023-01-05,Awareness,South America
"Williams, Jones and Long",Search Engine,3486.86,167234,11090,2090,159676.59,2022-06-01,2024-07-31,Conversion,Asia
"Phillips, Moore and Shepherd",Social Media,2946.53,142273,11730,930,93681.25,2021-12-12,2024-08-23,Retargeting,South America
"Short, Garza and Lopez",Search Engine,1029.26,64354,3084,983,29644.86,2024-10-20,2024-12-05,Awareness,Asia
Morgan Group,Email,797.59,39173,3774,514,40301.13,2024-06-03,2024-07-17,Retargeting,Europe
Henson-Grant,Search Engine,2124.1,145077,9606,2069,168803.34,2022-02-05,2022-11-12,Conversion,Asia
Hill-Juarez,TV,2667.45,176645,6523,639,49947.95,2023-01-15,2023-05-17,Retargeting,North America
Hampton-Bryan,TV,1352.19,135169,4798,157,14058.9,2024-09-10,2024-12-03,Conversion,Asia
"Farmer, Perez and Duncan",Search Engine,2322.97,94183,4920,1124,44232.68,2022-01-04,2024-07-23,Conversion,India
Cannon-Murphy,TV,3720.83,238775,7934,714,51631.33,2022-07-11,2024-09-18,Conversion,South America
"Smith, James and Armstrong",Email,553.12,19618,1526,319,10881.04,2024-07-19,2024-08-14,Conversion,South America
"Rodriguez, Campbell and Murphy",TV,2414.32,230696,4312,342,24652.96,2022-05-06,2023-07-25,Awareness,Europe
"Johnson, Williams and Baker",Email,499.9,19613,2848,735,65917.32,2024-01-03,2024-06-16,Retargeting,India
Garcia Inc,Email,497.39,20312,1409,304,25102.34,2023-03-29,2023-11-06,Retargeting,Asia
Garcia-Wright,Social Media,779.45,44794,2247,317,25417.1,2023-02-03,2023-02-08,Retargeting,South America
Ruiz Ltd,Email,610.44,22659,2808,512,8982.39,2023-10-03,2024-03-20,Awareness,Asia
"Gardner, Long and Lee",Social Media,2572.8,177711,6717,971,82864.85,2022-01-17,2024-06-16,Conversion,Asia
Walker-Ray,Social Media,558.63,45800,2841,241,7694.89,2022-02-01,2022-09-29,Retargeting,South America
"Ritter, Bonilla and Barker",Search Engine,3353.08,132243,9876,2846,48044.33,2023-08-27,2024-05-24,Retargeting,North America
Shaffer-Smith,TV,4555.11,367796,15534,1159,60836.81,2024-03-11,2024-08-08,Retargeting,Asia
Porter-Pugh,Social Media,1252.78,48651,5140,392,19367.64,2024-09-25,2024-11-24,Conversion,Asia
Lopez Ltd,Social Media,3888.5,44253,1328,178,910.17,2024-07-30,2024-08-22,Awareness,Asia
Nelson and Sons,TV,4067.84,279036,4707,127,10059.77,2024-10-09,2024-11-08,Awareness,South America
"Davis, Kim and Garcia",TV,2062.42,165129,4099,396,28726.0,2022-12-20,2023-03-09,Retargeting,South America
Carson PLC,TV,3816.03,298979,16408,1339,117490.62,2022-01-26,2023-07-09,Conversion,South America
Kent-Fischer,TV,2366.08,238449,4644,390,29743.69,2022-10-21,2023-11-19,Retargeting,India
Taylor-Mason,Email,448.63,27765,2773,716,58688.22,2023-12-29,2024-09-28,Retargeting,North America
"Daniels, Carroll and Hancock",Social Media,1916.69,81559,3190,307,28540.14,2023-10-15,2024-01-14,Awareness,South America
Robinson-Todd,Search Engine,1753.45,93744,5293,564,37373.49,2022-11-13,2024-05-01,Retargeting,South America
Robbins LLC,TV,1479.36,155785,3882,302,20496.44,2022-07-02,2023-07-17,Conversion,Europe
Yates LLC,Search Engine,8860.75,170835,15333,4034,55969.0,2023-09-02,2024-09-20,Conversion,Asia
"Nichols, Elliott and Rojas",TV,2609.69,223707,6960,161,6227.83,2023-06-04,2024-01-03,Conversion,Europe
"Wilcox, Frazier and Jennings",Search Engine,3479.32,185590,17330,1932,72939.45,2022-05-17,2024-10-17,Awareness,South America
Wells Inc,Search Engine,8006.25,227127,16934,3894,85298.8,2024-05-26,2024-09-08,Conversion,India
"Gilbert, Chambers and Hayes",Email,716.89,35205,4519,962,28474.89,2024-02-29,2024-12-13,Retargeting,North America
Murphy PLC,Email,818.5,30230,5123,1670,152053.57,2024-10-08,2024-10-10,Retargeting,India
Griffin-Garcia,Social Media,582.09,48586,1494,142,8836.59,2022-07-14,2024-08-11,Conversion,India
Griffin-Mcguire,Email,610.79,29010,1941,235,8295.18,2022-09-22,2023-12-16,Conversion,India
Leonard PLC,TV,3973.1,191583,4728,345,27621.19,2023-05-20,2024-11-04,Awareness,Europe
"Smith, Edwards and Macias",Search Engine,1607.6,82860,5493,688,7234.77,2022-10-29,2023-06-21,Conversion,India
Boyer-Clark,Search Engine,3218.58,176225,17375,2636,172473.94,2022-07-27,2023-06-23,Retargeting,Asia
Walters-Ramirez,TV,2478.23,241267,6889,377,22938.38,2022-12-01,2023-04-07,Awareness,South America
"Jones, Johnson and Porter",Radio,3958.16,432965,11924,437,26296.25,2023-05-21,2024-09-18,Retargeting,South America
"Kelley, Dalton and Molina",Social Media,2148.27,107592,4028,981,79975.79,2023-02-22,2023-09-05,Conversion,Asia
Patel-Morgan,TV,3549.24,210057,6555,505,12218.57,2023-11-12,2024-10-03,Conversion,Asia
Navarro-Nelson,Email,932.26,44866,2985,541,22932.66,2023-06-26,2023-10-21,Conversion,South America
"Paul, Black and Parker",Search Engine,3981.35,200307,19491,3906,219370.02,2023-01-07,2023-10-15,Conversion,India
Burnett-Romero,Email,514.38,26933,2500,597,41209.01,2024-04-04,2024-10-27,Awareness,South America
Garcia LLC,Social Media,1159.42,53024,2427,470,31094.85,2022-07-30,2024-10-24,Conversion,Europe
Young-Potter,Search Engine,1108.34,68251,3036,669,28689.1,2023-07-25,2024-04-27,Conversion,India
Jones-Holloway,Email,202.8,6526,651,172,1926.23,2022-12-27,2024-12-19,Conversion,South America
Miller Inc,Email,554.03,25688,2375,237,18604.55,2023-06-09,2023-08-21,Retargeting,India
Mcintyre LLC,Search Engine,7570.49,100638,7813,1835,33221.76,2024-03-29,2024-07-27,Awareness,Europe
Cook LLC,Email,511.43,25137,1548,522,27100.52,2023-12-18,2024-07-08,Conversion,Asia
"Case, Vincent and Foster",Social Media,2122.65,122784,7718,721,41085.39,2024-11-17,2024-11-21,Awareness,Europe
"Cox, Lopez and Ross",Search Engine,1214.28,72378,8656,1077,20621.0,2023-09-09,2024-07-17,Awareness,Europe
"Garrison, Dickson and Murray",Search Engine,2182.7,112769,9054,1880,163825.4,2021-11-25,2022-05-14,Awareness,South America
"Allen, Mccarthy and Murray",Email,491.47,28079,3211,775,35407.11,2022-11-17,2023-08-06,Retargeting,North America
"Griffin, Porter and Graves",TV,4545.02,390803,2892,144,6981.94,2022-06-29,2024-10-06,Retargeting,India
"Jones, Norton and Lloyd",TV,4376.92,287953,11995,534,25336.7,2022-12-30,2024-02-12,Conversion,South America
Campbell-Conway,Radio,4547.04,324436,2426,68,830.52,2022-07-06,2023-03-15,Retargeting,South America
Williams-Nelson,Search Engine,2514.04,165795,15194,3430,266491.62,2022-05-02,2023-12-18,Conversion,Asia
Miller and Sons,Radio,1110.76,93910,3686,246,11583.04,2022-12-02,2022-12-13,Awareness,North America
Hunt-Romero,TV,3544.36,245388,4482,286,26743.4,2023-03-31,2023-05-15,Retargeting,Europe
"Henderson, Thompson and Strickland",Search Engine,4568.34,90632,7576,1158,31760.33,2022-06-17,2024-12-02,Retargeting,Asia
Matthews LLC,Radio,2894.9,173734,3989,77,4216.83,2024-05-07,2024-08-02,Awareness,Europe
Jones-Lewis,Social Media,803.09,48835,2550,212,6276.51,2022-12-02,2023-11-08,Conversion,Asia
"Hill, Case and Jones",Radio,2360.12,206054,8130,783,47661.66,2022-05-05,2023-06-02,Retargeting,Asia
"Ward, Scott and Lowe",TV,1072.37,76127,5339,290,19794.9,2023-01-22,2023-10-09,Conversion,India
Ford Inc,Email,742.21,44616,7093,1426,32751.4,2024-06-18,2024-10-09,Awareness,South America
Lozano-Fuentes,Radio,3657.75,358728,15242,1209,92544.88,2021-11-30,2022-06-19,Retargeting,Asia
Berry and Sons,Social Media,2051.21,180015,10711,592,27475.81,2023-05-01,2024-10-18,Conversion,North America
"Carter, Cooke and Bautista",Radio,1366.14,117109,2831,122,5499.1,2023-07-07,2024-03-25,Awareness,South America
Rhodes Group,Social Media,2840.95,203844,12783,3452,209774.28,2022-09-15,2024-10-25,Conversion,South America
"George, Hoffman and Nichols",Search Engine,2852.95,158162,18071,3646,234952.36,2023-01-14,2024-03-22,Retargeting,India
Ward Ltd,Search Engine,1379.16,71185,4393,579,5263.8,2022-09-10,2024-07-15,Conversion,North America
Parks-Reyes,Social Media,2229.06,99781,3905,631,45693.97,2023-10-08,2024-01-10,Conversion,Europe
Shaw-Horton,Email,615.12,23288,1281,344,5354.53,2022-12-11,2023-05-27,Conversion,South America
"Saunders, Reed and Wood",Email,974.47,48286,9385,2004,167447.14,2023-10-28,2024-10-15,Awareness,North America
Stanley LLC,Social Media,1242.79,76284,6881,1021,47249.68,2023-08-15,2024-09-07,Retargeting,South America
White Ltd,Search Engine,3715.44,169194,13166,2644,216322.23,2023-07-26,2024-09-02,Awareness,India
Adams-Oconnor,Search Engine,3576.56,158450,22170,2482,147665.45,2023-09-11,2024-03-16,Conversion,Europe
Reyes-Wood,Email,723.5,36273,2175,579,14565.82,2022-07-11,2024-03-23,Awareness,India
"Moore, Mercado and Walker",Social Media,2719.16,182022,14068,2525,252863.44,2024-10-09,2024-11-07,Conversion,India
Lam-Whitney,Email,429.12,17614,1751,635,19922.05,2024-05-12,2024-10-28,Retargeting,North America
Stevenson Inc,Email,428.57,17356,1393,305,13238.46,2024-06-24,2024-09-12,Conversion,South America
Smith and Sons,Radio,2374.99,244381,4927,463,8670.65,2023-01-01,2024-06-30,Awareness,India
"Smith, Morrow and Duarte",Search Engine,1675.09,87537,7688,1750,141950.87,2024-03-01,2024-09-02,Conversion,India
Stone PLC,Search Engine,1599.18,104590,8698,2034,42693.94,2023-01-23,2024-08-20,Awareness,Asia
Flores Group,Email,856.97,39868,2608,636,61649.54,2022-08-12,2023-04-20,Awareness,South America
